"ref_value","X_worker_id","author_type"
"http://8tracks.com/angeloflight12/shake-it-up-dance",42298345,"organisation"
"http://8tracks.com/angeloflight12/shake-it-up-dance",33163510,"nw"
"http://8tracks.com/angeloflight12/shake-it-up-dance",41983503,"collective"
"http://8tracks.com/angeloflight12/shake-it-up-dance",11746564,"organisation"
"http://8tracks.com/angeloflight12/shake-it-up-dance",42708352,"organisation"
"http://akas.imdb.com/name/nm2304352/",11376021,"organisation"
"http://akas.imdb.com/name/nm2304352/",40652679,"collective"
"http://akas.imdb.com/name/nm2304352/",40263699,"organisation"
"http://akas.imdb.com/name/nm2304352/",41141777,"collective"
"http://akas.imdb.com/name/nm2304352/",40893415,"collective"
"http://americanart.si.edu/collections/search/artwork/?id=11098",41881477,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11098",38687371,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11098",40914155,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11098",36624581,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11098",39419117,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11416",34307153,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11416",38687371,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11416",41399716,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11416",42160208,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11416",39632557,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11819",38514103,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11819",33599386,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11819",39499917,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11819",42629269,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=11819",42084122,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=14493",36624581,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=14493",41870409,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=14493",42298345,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=14493",25388841,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=14493",40844959,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=14493",40263699,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=20476",41571503,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=20476",13180246,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=20476",42354707,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=20476",40861787,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=20476",34856865,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=21513",42661633,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=21513",31933957,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=21513",38514103,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=21513",42156004,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=21513",41834005,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=22834",39965755,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=22834",34307153,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=22834",25411600,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=22834",38427455,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=22834",23197558,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25639",20039972,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25639",42540709,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25639",39920459,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25639",36603824,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25639",37589406,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25825",42661633,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25825",31933957,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25825",38514103,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25825",42156004,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25825",41834005,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25858",14826952,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25858",42421443,"individual"
"http://americanart.si.edu/collections/search/artwork/?id=25858",34856865,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25858",38922919,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=25858",11003055,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26050",13180246,"individual"
"http://americanart.si.edu/collections/search/artwork/?id=26050",39757852,"individual"
"http://americanart.si.edu/collections/search/artwork/?id=26050",41571503,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26050",41142695,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26050",42155896,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26233",38922919,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26233",12999735,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26233",33868190,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26233",11003055,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26233",35169212,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26314",25388841,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26314",39499917,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26314",40842537,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26314",39632557,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26314",37444582,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26486",42404850,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26486",42084122,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26486",40957436,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26486",39920459,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26486",41451114,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26587",26079868,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26587",39965755,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26587",23228736,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26587",25411600,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=26587",38427455,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=27878",42661633,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=27878",31933957,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=27878",38514103,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=27878",42156004,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=27878",41834005,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=28340",41142695,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=28340",37636971,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=28340",12999735,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=28340",41110198,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=28340",42155896,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=31889",22204662,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=31889",38990852,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=31889",42354707,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=31889",37589406,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=31889",38405796,"organisation"
"http://americanart.si.edu/collections/search/artwork/?id=33467",26079868,"organisation"
