"X_unit_id","X_worker_id","response"
1203055283,41983503,"yes"
1203055283,39151155,"no"
1203055283,39332461,"no"
1203055283,21353389,"no_property"
1203055283,38082417,"no"
1203055284,33401262,"ne_item"
1203055284,42274879,"ne_item"
1203055284,42028610,"ne_item"
1203055284,39757191,"yes"
1203055284,36874940,"ne_item"
1203055284,40206149,"yes"
1203055284,32256746,"ne_item"
1203055285,35122340,"yes"
1203055285,33401262,"yes"
1203055285,40963627,"yes"
1203055285,42028610,"yes"
1203055285,38845985,"yes"
1203055286,17797691,"yes"
1203055286,42740171,"yes"
1203055286,38833704,"yes"
1203055286,42028610,"no_item"
1203055286,40963627,"yes"
1203055286,39757191,"yes"
1203055287,35122340,"yes"
1203055287,40963627,"yes"
1203055287,42028610,"yes"
1203055287,39757191,"yes"
1203055287,38845985,"yes"
1203055288,42274879,"yes"
1203055288,40846833,"yes"
1203055288,40206149,"yes"
1203055288,38082417,"yes"
1203055288,38845985,"yes"
1203055289,33401262,"yes"
1203055289,42274879,"yes"
1203055289,39757191,"yes"
1203055289,36874940,"yes"
1203055289,40206149,"yes"
1203055289,32256746,"yes"
1203055290,41983503,"yes"
1203055290,39332461,"yes"
1203055290,39151155,"yes"
1203055290,21353389,"yes"
1203055290,38082417,"yes"
1203055291,35122340,"yes"
1203055291,33401262,"yes"
1203055291,42274879,"no_property"
1203055291,42028610,"yes"
1203055291,39757191,"yes"
1203055292,35122340,"ne_item"
1203055292,33401262,"ne_item"
1203055292,40963627,"ne_item"
1203055292,42028610,"yes"
1203055292,38845985,"ne_item"
1203055293,17797691,"yes"
1203055293,42740171,"yes"
1203055293,38833704,"yes"
1203055293,42028610,"yes"
1203055293,40963627,"no"
1203055293,39757191,"yes"
1203055294,35122340,"ne_item"
1203055294,33401262,"ne_item"
1203055294,40963627,"ne_item"
1203055294,42028610,"ne_item"
1203055294,38845985,"yes"
1203055295,33401262,"yes"
1203055295,42274879,"no_item"
1203055295,42028610,"yes"
1203055295,39757191,"yes"
1203055295,36874940,"no_item"
1203055295,40206149,"yes"
1203055295,32256746,"yes"
1203055296,41983503,"no_item"
1203055296,39332461,"nw_item"
1203055296,39151155,"nw_item"
1203055296,21353389,"nw_item"
1203055296,42740171,"yes"
1203055296,38833704,"nw_item"
1203055297,17797691,"yes"
1203055297,38833704,"yes"
1203055297,35122340,"yes"
1203055297,35794671,"yes"
1203055297,42028610,"yes"
1203055298,17797691,"yes"
1203055298,42740171,"yes"
1203055298,38833704,"no"
1203055298,40963627,"no_property"
1203055298,40846833,"no"
1203055298,34990333,"no"
1203055299,35122340,"yes"
1203055299,40963627,"no_item"
1203055299,42028610,"yes"
1203055299,39757191,"yes"
1203055299,38845985,"yes"
1203055300,33401262,"yes"
1203055300,35122340,"yes"
1203055300,34990333,"yes"
1203055300,40846833,"yes"
1203055300,36874940,"yes"
1203055301,17797691,"yes"
1203055301,38833704,"yes"
1203055301,35122340,"yes"
1203055301,35794671,"yes"
1203055301,42028610,"yes"
1203055302,35122340,"yes"
1203055302,33401262,"yes"
1203055302,34990333,"yes"
1203055302,42274879,"yes"
1203055302,40206149,"yes"
1203055302,40846833,"no"
1203055303,41983503,"yes"
1203055303,39332461,"yes"
1203055303,39151155,"yes"
1203055303,21353389,"yes"
1203055303,38082417,"yes"
1203055304,41983503,"yes"
1203055304,39151155,"yes"
1203055304,39332461,"yes"
1203055304,21353389,"yes"
1203055304,42740171,"yes"
1203055304,38833704,"yes"
1203055305,17797691,"yes"
1203055305,40963627,"nw_item"
1203055305,33401262,"nw_item"
1203055305,40206149,"nw_item"
1203055305,41719502,"nw_item"
1203055306,41983503,"yes"
1203055306,39151155,"yes"
1203055306,39332461,"yes"
1203055306,21353389,"yes"
